	Class	Compound	M8: GMM+LAB plus Mucin	M2: LAB	M3: GMM+LAB	price	volume/mass (ml/g)	price per unit	Catalog ID	link	Notes
0	Sugar	D-glucose	5 g	15 g	5 g	$77.50 	1000	$0.08 	15023021	https://www.thermofisher.com/order/catalog/product/15023021?SID=srch-srp-15023021	
1	Sugar	Fructose	1 g	0	1 g	$32.54 	1000	$0.03 	VWRV0226-1KG	https://us.vwr.com/store/product/7437393/d-fructose-powder-high-purity	
2	Sugar	Cellobiose	1 g	0	1 g	$297.64 	100	$2.98 	C7830	https://us.vwr.com/store/product/11042887/cellobiose-criteriontm-hardy-diagnostics	Smaller quantities available
3	Sugar	Maltose	1 g	0	1 g	$35.28 	100	$0.35 	VWRV1B1184-100G	https://us.vwr.com/store/product/7437397/d-maltose-monohydrate-reagent-grade	
4	Sugar	Lactose	1 g	0	1 g	$164.46 	5000	$0.03 	VWRVJ815-5KG	https://us.vwr.com/store/product/13323318/lactose-monohydrate-acs	
6	Others	Resazurin	1 mg	0	1 mg	$71.30 	5	$14.26 	R7017-1G	https://www.sigmaaldrich.com/catalog/product/sigma/r7017?lang=en&region=US	
7	Others	NAD (N1511)	2 mg	0	2 mg	$155 	1	$155.00 	N1511-1G	https://www.sigmaaldrich.com/catalog/product/sial/n1511?lang=en&region=US	Smaller quantities available
8	Others	Hemin	0.5 mg	0	0.5 mg	$53.60 	1	$53.60 	51280-1G	https://www.sigmaaldrich.com/catalog/product/sigma/51280?lang=en&region=US	
9	Others	Mucin	5 g	0	0	$368.00 	100	$3.68 	M1778-10G	https://www.sigmaaldrich.com/catalog/product/sigma/m1778?lang=en&region=US&cm_sp=Insite-_-prodRecCold_xviews-_-prodRecCold3-2	Smaller quantities available
10	Others	KCl	50 mg	0	0	$27.40 	250	$0.11 	P5405-250G	https://www.sigmaaldrich.com/catalog/product/sigma/p5405?lang=en&region=US	Larger quantities available
12	Others	Hematin	1.2 mg	0	1.2 mg	$48.90 	1	$48.90 	H3281-1G	https://www.sigmaaldrich.com/catalog/product/sigma/h3281?lang=en&region=US	Larger quantities available
13	Amino acids	l-Histidine	0.171 g	0.17 g	0.171 g	$27.60 	25	$1.10 	H8000-25G	https://www.sigmaaldrich.com/catalog/product/sial/h8000?lang=en&region=US	Larger quantities available
14	Amino acids	l-Isoleucine	0.24 g	0.24 g	0.24 g	$50.50 	25	$2.02 	I2752-25G	https://www.sigmaaldrich.com/catalog/product/sial/i2752?lang=en&region=US	
15	Amino acids	l-Leucine	1 g	1 g	1 g	$24.80 	25	$0.99 	L8000-25G	https://www.sigmaaldrich.com/catalog/product/sigma/l8000?lang=en&region=US	
16	Amino acids	l-Methionine	0.125 g	0.125 g	0.125 g	$22.50 	25	$0.90 	M9625-25G	https://www.sigmaaldrich.com/catalog/product/sial/m9625?lang=en&region=US	
17	Amino acids	l-Valine	0.7 g	0.7 g	0.7 g	$25.60 	25	$1.02 	V0500-25G	https://www.sigmaaldrich.com/catalog/product/sial/v0500?lang=en&region=US	
18	Amino acids	l-Arginine	0.72 g	0.72 g	0.72 g	$49.90 	100	$0.50 	A5006-100G	https://www.sigmaaldrich.com/catalog/product/sial/a5006?lang=en&region=US	
19	Amino acids	l-Cysteine	0.5 g	0.2 g	0.5 g	$52.60 	25	$2.10 	C7352-25G	https://www.sigmaaldrich.com/catalog/product/sigma/c7352?lang=en&region=US	
20	Amino acids	l-Glutamic acid	0.6 g	0.6 g	0.6 g	$19.20 	100	$0.19 	G1251-100G	https://www.sigmaaldrich.com/catalog/product/sigma/g1251?lang=en&region=US	
21	Amino acids	l-Phenylalanine	0.4 g	0.4 g	0.4 g	$82.80 	100	$0.83 	P2126-100G	https://www.sigmaaldrich.com/catalog/product/sial/p2126?lang=en&region=US	
22	Amino acids	l-Proline	0.7 g	0.7 g	0.7 g	$79.10 	100	$0.79 	P0380-100G	https://www.sigmaaldrich.com/catalog/product/sial/p0380?lang=en&region=US	
23	Amino acids	l-Asparagine	0.5 g	0.5 g	0.5 g	$29.20 	25	$1.17 	A0884-25G	https://www.sigmaaldrich.com/catalog/product/sigma/a0884?lang=en&region=US	
24	Amino acids	l-Aspartic acid	0.05 g	0.05 g	0.05 g	$30.20 	100	$0.30 	A9256-100G	https://www.sigmaaldrich.com/catalog/product/sigma/a9256?lang=en&region=US	
25	Amino acids	l-Glutamine	0.6 g	0.6 g	0.6 g	$67 	100	$0.67 	G3126-100G	https://www.sigmaaldrich.com/catalog/product/sigma/g3126?lang=en&region=US	
26	Amino acids	l-Serine	0.5 g	0.5 g	0.5 g	$92.10 	100	$0.92 	S4500-100G	https://www.sigmaaldrich.com/catalog/product/sigma/s4500?lang=en&region=US	
